name,hex,link
Han Purple,#5218fa,https://en.wikipedia.org/wiki/Han_purple
Hansa Yellow,#e9d66b,https://en.wikipedia.org/wiki/Hansa_yellow
Harlequin,#3fff00,https://en.wikipedia.org/wiki/Shades_of_green#Harlequin
Harvest Gold,#da9100,https://en.wikipedia.org/wiki/Gold_(color)#Harvest_gold
Heat Wave,#ff7a00,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors
Heliotrope,#df73ff,https://en.wikipedia.org/wiki/Heliotrope_(color)
Heliotrope Gray,#aa98a9,https://en.wikipedia.org/wiki/Heliotrope_(color)#Heliotrope_gray
Hollywood Cerise,#f400a1,https://en.wikipedia.org/wiki/Cerise_(color)#Hollywood_cerise
Honeydew,#f0fff0,https://en.wikipedia.org/wiki/Spring_green_(color)#Honeydew
Honolulu Blue,#006db0,https://en.wikipedia.org/wiki/Shades_of_azure#Honolulu_blue
Hooker's Green,#49796b,https://en.wikipedia.org/wiki/Shades_of_green#Hooker's_green
Hot Magenta,#ff1dce,https://en.wikipedia.org/wiki/Shades_of_magenta#Hot_magenta
Hot Pink,#ff69b4,https://en.wikipedia.org/wiki/Shades_of_pink#Hot_pink
Hunter Green,#355e3b,https://en.wikipedia.org/wiki/Shades_of_green#Hunter_green
Iceberg,#71a6d2,https://en.wikipedia.org/wiki/Blue-gray#Iceberg
Icterine,#fcf75e,https://en.wikipedia.org/wiki/Icterine
Illuminating Emerald,#319177,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX
Imperial Red,#ed2939,https://en.wikipedia.org/wiki/Shades_of_red#Imperial_red
Inchworm,#b2ec5d,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors
Independence,#4c516d,https://en.wikipedia.org/wiki/Shades_of_blue#Independence
India Green,#138808,https://en.wikipedia.org/wiki/Shades_of_green#India_green
Indian Red,#cd5c5c,https://en.wikipedia.org/wiki/Indian_red_(color)
Indian Yellow,#e3a857,https://en.wikipedia.org/wiki/Indian_yellow
Indigo,#4b0082,https://en.wikipedia.org/wiki/Indigo
Indigo Dye,#00416a,https://en.wikipedia.org/wiki/Indigo#Indigo_dye
Infrared,#ff496c,https://en.wikipedia.org/wiki/Infrared
International Klein Blue,#130a8f,https://en.wikipedia.org/wiki/Shades_of_Blue#International_Klein_Blue
International Orange,#c0362c,https://en.wikipedia.org/wiki/International_orange#Golden_Gate_Bridge
Iris,#5a4fcf,https://en.wikipedia.org/wiki/Iris_(color)
Irresistible,#b3446c,https://en.wikipedia.org/wiki/Cerise_(color)#Irresistible
Isabelline,#f4f0ec,https://en.wikipedia.org/wiki/Isabelline_(colour)
Italian Sky Blue,#b2ffff,https://en.wikipedia.org/wiki/Sky_blue#Celeste
Ivory,#fffff0,https://en.wikipedia.org/wiki/Ivory_(color)
Jade,#00a86b,https://en.wikipedia.org/wiki/Shades_of_green#Jade
Japanese Carmine,#9d2933,https://en.wikipedia.org/wiki/Carmine_(color)#Japanese_carmine
Japanese Violet,#5b3256,https://en.wikipedia.org/wiki/Shades_of_violet#Japanese_violet
Jasmine,#f8de7e,https://en.wikipedia.org/wiki/Jasmine_(color)
Jazzberry Jam,#a50b5e,https://en.wikipedia.org/wiki/Red-violet#Jazzberry_jam
Jet,#343434,https://en.wikipedia.org/wiki/Shades_of_black_(colors)#Jet
Jonquil,#f4ca16,https://en.wikipedia.org/wiki/Jonquil_(color)
June Bud,#bdda57,https://en.wikipedia.org/wiki/Spring_bud#June_bud
Jungle Green,#29ab87,https://en.wikipedia.org/wiki/Jungle_green
KSU Purple,#512888,https://en.wikipedia.org/wiki/Shades_of_purple#KSU_Purple
